ARO_name	AMR_Gene_Family	Credi_rank
23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	Erm 23S ribosomal RNA methyltransferase	AMR_Gene_Family
AAC(3)-Ia	AAC(3)	AMR_Gene_Family
AAC(3)-Ib	AAC(3)	AMR_Gene_Family
AAC(3)-Ic	AAC(3)	AMR_Gene_Family
AAC(3)-Id	AAC(3)	AMR_Gene_Family
AAC(3)-IIa	AAC(3)	AMR_Gene_Family
AAC(3)-IIb	AAC(3)	AMR_Gene_Family
AAC(3)-IIc	AAC(3)	AMR_Gene_Family
AAC(3)-IId	AAC(3)	AMR_Gene_Family
AAC(3)-IIe	AAC(3)	AMR_Gene_Family
AAC(3)-IIg	AAC(3)	AMR_Gene_Family
AAC(3)-IIIa	AAC(3)	AMR_Gene_Family
AAC(3)-IIIb	AAC(3)	AMR_Gene_Family
AAC(3)-IIIc	AAC(3)	AMR_Gene_Family
AAC(3)-IV	AAC(3)	AMR_Gene_Family
AAC(3)-IVb	AAC(3)	AMR_Gene_Family
AAC(3)-IXa	AAC(3)	AMR_Gene_Family
AAC(3)-VIa	AAC(3)	AMR_Gene_Family
AAC(3)-VIIa	AAC(3)	AMR_Gene_Family
AAC(3)-VIIIa	AAC(3)	AMR_Gene_Family
AAC(3)-Xa	AAC(3)	AMR_Gene_Family
aadA	ANT(3'')	AMR_Gene_Family
aadA10	ANT(3'')	AMR_Gene_Family
aadA11	ANT(3'')	AMR_Gene_Family
aadA12	ANT(3'')	AMR_Gene_Family
aadA13	ANT(3'')	AMR_Gene_Family
aadA14	ANT(3'')	AMR_Gene_Family
aadA15	ANT(3'')	AMR_Gene_Family
aadA16	ANT(3'')	AMR_Gene_Family
aadA17	ANT(3'')	AMR_Gene_Family
aadA2	ANT(3'')	AMR_Gene_Family
aadA21	ANT(3'')	AMR_Gene_Family
aadA22	ANT(3'')	AMR_Gene_Family
aadA23	ANT(3'')	AMR_Gene_Family
aadA24	ANT(3'')	AMR_Gene_Family
aadA25	ANT(3'')	AMR_Gene_Family
aadA27	ANT(3'')	AMR_Gene_Family
aadA3	ANT(3'')	AMR_Gene_Family
aadA4	ANT(3'')	AMR_Gene_Family
aadA5	ANT(3'')	AMR_Gene_Family
aadA6	ANT(3'')	AMR_Gene_Family
aadA6/aadA10	ANT(3'')	AMR_Gene_Family
aadA7	ANT(3'')	AMR_Gene_Family
aadA8	ANT(3'')	AMR_Gene_Family
aadA8b	ANT(3'')	AMR_Gene_Family
aadA9	ANT(3'')	AMR_Gene_Family
Acinetobacter baumannii ampC beta-lactamase	ampC-type beta-lactamase	AMR_Gene_Family
ANT(3'')-Ib	ANT(3'')	AMR_Gene_Family
ANT(3'')-IIa	ANT(3'')	AMR_Gene_Family
ANT(3'')-IIb	ANT(3'')	AMR_Gene_Family
ANT(3'')-IIc	ANT(3'')	AMR_Gene_Family
blaI	blaZ beta-lactamase	AMR_Gene_Family
blaR1	blaZ beta-lactamase	AMR_Gene_Family
CTX-M-1	CTX-M beta-lactamase	AMR_Gene_Family
CTX-M-10	CTX-M beta-lactamase	AMR_Gene_Family
CTX-M-100	CTX-M beta-lactamase	AMR_Gene_Family
CTX-M-101	CTX-M beta-lactamase	AMR_Gene_Family
CTX-M-102	CTX-M beta-lactamase	AMR_Gene_Family
CTX-M-103	CTX-M beta-lactamase	AMR_Gene_Family
CTX-M-104	CTX-M beta-lactamase	AMR_Gene_Family
CTX-M-105	CTX-M beta-lactamase	AMR_Gene_Family
CTX-M-106	CTX-M beta-lactamase	AMR_Gene_Family
CTX-M-107	CTX-M beta-lactamase	AMR_Gene_Family
CTX-M-108	CTX-M beta-lactamase	AMR_Gene_Family
CTX-M-109	CTX-M beta-lactamase	AMR_Gene_Family
CTX-M-11	CTX-M beta-lactamase	AMR_Gene_Family
CTX-M-110	CTX-M beta-lactamase	AMR_Gene_Family
CTX-M-111	CTX-M beta-lactamase	AMR_Gene_Family
CTX-M-112	CTX-M beta-lactamase	AMR_Gene_Family
CTX-M-113	CTX-M beta-lactamase	AMR_Gene_Family
CTX-M-114	CTX-M beta-lactamase	AMR_Gene_Family
CTX-M-115	CTX-M beta-lactamase	AMR_Gene_Family
CTX-M-116	CTX-M beta-lactamase	AMR_Gene_Family
CTX-M-117	CTX-M beta-lactamase	AMR_Gene_Family
CTX-M-12	CTX-M beta-lactamase	AMR_Gene_Family
CTX-M-121	CTX-M beta-lactamase	AMR_Gene_Family
CTX-M-122	CTX-M beta-lactamase	AMR_Gene_Family
CTX-M-123	CTX-M beta-lactamase	AMR_Gene_Family
CTX-M-124	CTX-M beta-lactamase	AMR_Gene_Family
CTX-M-125	CTX-M beta-lactamase	AMR_Gene_Family
CTX-M-126	CTX-M beta-lactamase	AMR_Gene_Family
CTX-M-129	CTX-M beta-lactamase	AMR_Gene_Family
CTX-M-13	CTX-M beta-lactamase	AMR_Gene_Family
CTX-M-130	CTX-M beta-lactamase	AMR_Gene_Family
CTX-M-131	CTX-M beta-lactamase	AMR_Gene_Family
CTX-M-132	CTX-M beta-lactamase	AMR_Gene_Family
CTX-M-134	CTX-M beta-lactamase	AMR_Gene_Family
CTX-M-136	CTX-M beta-lactamase	AMR_Gene_Family
CTX-M-137	CTX-M beta-lactamase	AMR_Gene_Family
CTX-M-139	CTX-M beta-lactamase	AMR_Gene_Family
CTX-M-14	CTX-M beta-lactamase	AMR_Gene_Family
CTX-M-141	CTX-M beta-lactamase	AMR_Gene_Family
CTX-M-142	CTX-M beta-lactamase	AMR_Gene_Family
CTX-M-144	CTX-M beta-lactamase	AMR_Gene_Family
CTX-M-147	CTX-M beta-lactamase	AMR_Gene_Family
CTX-M-148	CTX-M beta-lactamase	AMR_Gene_Family
CTX-M-15	CTX-M beta-lactamase	AMR_Gene_Family
CTX-M-151	CTX-M beta-lactamase	AMR_Gene_Family
CTX-M-152	CTX-M beta-lactamase	AMR_Gene_Family
CTX-M-155	CTX-M beta-lactamase	AMR_Gene_Family
CTX-M-156	CTX-M beta-lactamase	AMR_Gene_Family
CTX-M-157	CTX-M beta-lactamase	AMR_Gene_Family
CTX-M-158	CTX-M beta-lactamase	AMR_Gene_Family
