ARO_accession	ARO_gene_family	ARO_length	ARO_name	ARO_taxonomy_id	ARO_taxonomy_name
3002999	CblA beta-lactamase	891	CblA-1	663108	mixed culture bacterium AX_gF3SD01_15
3001109	SHV beta-lactamase	861	SHV-52	573	Klebsiella pneumoniae
3002867	trimethoprim resistant dihydrofolate reductase dfr	495	dfrF	1351	Enterococcus faecalis
3001989	CTX-M beta-lactamase	876	CTX-M-130	562	Escherichia coli
3002356	NDM beta-lactamase	813	NDM-6	562	Escherichia coli
3001855	ACT beta-lactamase	1146	ACT-35	550	Enterobacter cloacae
3002244	CARB beta-lactamase	897	CARB-5	107673	Acinetobacter calcoaceticus subsp. anitratus
3000600	Erm 23S ribosomal RNA methyltransferase	846	Erm(34)	79880	Bacillus clausii
3000988	TEM beta-lactamase	861	TEM-126	562	Escherichia coli
3002511	subclass B3 LRA beta-lactamase	882	LRA-12	506514	uncultured bacterium BLR12
3000938	TEM beta-lactamase	861	TEM-72	582	Morganella morganii
3000928	TEM beta-lactamase	832	TEM-59	571	Klebsiella oxytoca
3002320	KPC beta-lactamase	882	KPC-10	470	Acinetobacter baumannii
3001711	OXA beta-lactamase	825	OXA-212	40214	Acinetobacter johnsonii
3002193	IMP beta-lactamase	741	IMP-2	470	Acinetobacter baumannii
3002012	CMY beta-lactamase	1149	CMY-1	573	Klebsiella pneumoniae
3001517	OXA beta-lactamase	822	OXA-329	471	Acinetobacter calcoaceticus
3001832	ACT beta-lactamase	1146	ACT-10	615	Serratia marcescens
3001557	OXA beta-lactamase	825	OXA-371	470	Acinetobacter baumannii
3003552	Target protecting FusB-type protein conferring resistance to Fusidic acid	642	fusB	1280	Staphylococcus aureus
3001980	CTX-M beta-lactamase	876	CTX-M-121	562	Escherichia coli
3002372	VEB beta-lactamase	900	VEB-3	550	Enterobacter cloacae
3002835	lincosamide nucleotidyltransferase (LNU)	486	lnuA	1283	Staphylococcus haemolyticus
3001794	OXA beta-lactamase	795	OXA-45	287	Pseudomonas aeruginosa
3001800	OXA beta-lactamase	828	OXA-226	287	Pseudomonas aeruginosa
3003163	CTX-M beta-lactamase	876	CTX-M-155	573	Klebsiella pneumoniae
